Consumed: Hi 7 @ 1589752425754 Partition: 0, Offset: 1120, By ThreadID: 12
Consumed: Hi 0 @ 1589752425486 Partition: 2, Offset: 1070, By ThreadID: 14
Consumed: Hi 63 @ 1589752426352 Partition: 0, Offset: 1121, By ThreadID: 12
Consumed: Hi 5 @ 1589752425733 Partition: 1, Offset: 1052, By ThreadID: 13
Consumed: Hi 9 @ 1589752425776 Partition: 3, Offset: 1095, By ThreadID: 15
Consumed: Hi 23 @ 1589752425926 Partition: 1, Offset: 1053, By ThreadID: 13
Consumed: Hi 13 @ 1589752425819 Partition: 3, Offset: 1096, By ThreadID: 15
Consumed: Hi 28 @ 1589752425979 Partition: 1, Offset: 1054, By ThreadID: 13
Consumed: Hi 69 @ 1589752426416 Partition: 0, Offset: 1122, By ThreadID: 12
Consumed: Hi 11 @ 1589752425797 Partition: 2, Offset: 1071, By ThreadID: 14
Consumed: Hi 79 @ 1589752426522 Partition: 0, Offset: 1123, By ThreadID: 12
Consumed: Hi 15 @ 1589752425840 Partition: 2, Offset: 1072, By ThreadID: 14
Consumed: Hi 21 @ 1589752425904 Partition: 3, Offset: 1097, By ThreadID: 15
Consumed: Hi 43 @ 1589752426139 Partition: 3, Offset: 1098, By ThreadID: 15
Consumed: Hi 37 @ 1589752426075 Partition: 1, Offset: 1055, By ThreadID: 13
Consumed: Hi 48 @ 1589752426192 Partition: 1, Offset: 1056, By ThreadID: 13
Consumed: Hi 87 @ 1589752426606 Partition: 0, Offset: 1124, By ThreadID: 12
Consumed: Hi 75 @ 1589752426479 Partition: 1, Offset: 1057, By ThreadID: 13
Consumed: Hi 42 @ 1589752426128 Partition: 2, Offset: 1073, By ThreadID: 14
Consumed: Hi 96 @ 1589752426702 Partition: 0, Offset: 1125, By ThreadID: 12
Consumed: Hi 78 @ 1589752426511 Partition: 1, Offset: 1058, By ThreadID: 13
Consumed: Hi 50 @ 1589752426213 Partition: 3, Offset: 1099, By ThreadID: 15
Consumed: Hi 52 @ 1589752426235 Partition: 3, Offset: 1100, By ThreadID: 15
Consumed: Hi 51 @ 1589752426224 Partition: 2, Offset: 1074, By ThreadID: 14
Consumed: Hi 121 @ 1589752426967 Partition: 0, Offset: 1126, By ThreadID: 12
Consumed: Hi 61 @ 1589752426331 Partition: 3, Offset: 1101, By ThreadID: 15
Consumed: Hi 84 @ 1589752426575 Partition: 1, Offset: 1059, By ThreadID: 13
Consumed: Hi 56 @ 1589752426277 Partition: 2, Offset: 1075, By ThreadID: 14
Consumed: Hi 99 @ 1589752426734 Partition: 1, Offset: 1060, By ThreadID: 13
Consumed: Hi 77 @ 1589752426501 Partition: 3, Offset: 1102, By ThreadID: 15
Consumed: Hi 123 @ 1589752426988 Partition: 0, Offset: 1127, By ThreadID: 12
Consumed: Hi 81 @ 1589752426543 Partition: 3, Offset: 1103, By ThreadID: 15
Consumed: Hi 139 @ 1589752427156 Partition: 0, Offset: 1128, By ThreadID: 12
Consumed: Hi 83 @ 1589752426564 Partition: 3, Offset: 1104, By ThreadID: 15
Consumed: Hi 107 @ 1589752426819 Partition: 1, Offset: 1061, By ThreadID: 13
Consumed: Hi 164 @ 1589752427415 Partition: 0, Offset: 1129, By ThreadID: 12
Consumed: Hi 116 @ 1589752426914 Partition: 1, Offset: 1062, By ThreadID: 13
Consumed: Hi 170 @ 1589752427476 Partition: 0, Offset: 1130, By ThreadID: 12
Consumed: Hi 120 @ 1589752426956 Partition: 3, Offset: 1105, By ThreadID: 15
Consumed: Hi 58 @ 1589752426299 Partition: 2, Offset: 1076, By ThreadID: 14
Consumed: Hi 125 @ 1589752427008 Partition: 3, Offset: 1106, By ThreadID: 15
Consumed: Hi 119 @ 1589752426946 Partition: 1, Offset: 1063, By ThreadID: 13
Consumed: Hi 176 @ 1589752427538 Partition: 0, Offset: 1131, By ThreadID: 12
Consumed: Hi 132 @ 1589752427082 Partition: 3, Offset: 1107, By ThreadID: 15
Consumed: Hi 67 @ 1589752426394 Partition: 2, Offset: 1077, By ThreadID: 14
Consumed: Hi 122 @ 1589752426977 Partition: 1, Offset: 1064, By ThreadID: 13
Consumed: Hi 137 @ 1589752427135 Partition: 3, Offset: 1108, By ThreadID: 15
Consumed: Hi 181 @ 1589752427590 Partition: 0, Offset: 1132, By ThreadID: 12
Consumed: Hi 70 @ 1589752426426 Partition: 2, Offset: 1078, By ThreadID: 14
Consumed: Hi 142 @ 1589752427188 Partition: 3, Offset: 1109, By ThreadID: 15
Consumed: Hi 127 @ 1589752427029 Partition: 1, Offset: 1065, By ThreadID: 13
Consumed: Hi 72 @ 1589752426447 Partition: 2, Offset: 1079, By ThreadID: 14
